treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi
Female/20x,241.93666666666667,20,2,0,0.1,0.9,0.9,0.0007007085136279047,0.9,0.0670820393249937,0.7685192029230123,1.0
Female/20x,392.16055555555556,18,2,0,0.1111111111111111,0.8888888888888888,0.7999999999999999,0.0018164286892801951,0.7999999999999999,0.08944271909999157,0.6246922705640164,0.9753077294359834
Female/20x,456.9288888888889,16,1,0,0.0625,0.9375,0.7499999999999999,0.0013637851401971121,0.7499999999999999,0.0968245836551854,0.5602238160358365,0.9397761839641633
Female/20x,504.23555555555555,15,1,0,0.06666666666666667,0.9333333333333333,0.7,0.00042709791534100723,0.7,0.10246950765959599,0.49915976498719183,0.9008402350128081
Female/20x,665.7102777777777,14,1,0,0.07142857142857142,0.9285714285714286,0.65,0.0005875850621187579,0.65,0.10665364503850772,0.44095885572452487,0.8590411442754752
Female/20x,791.7755555555556,13,3,0,0.23076923076923078,0.7692307692307692,0.5,0.005373060816332122,0.5,0.11180339887498948,0.28086533820502063,0.7191346617949794
Female/20x,840.3269444444444,10,2,0,0.2,0.8,0.4,0.0030021127368385506,0.4,0.10954451150103324,0.18529275745797488,0.6147072425420251
Female/20x,914.3488888888888,8,6,0,0.75,0.25,0.1,0.027456638214301565,0.1,0.0670820393249937,0.0,0.23148079707698765
Female/20x,958.0541666666667,2,2,0,1.0,0.0,0.0,0.04576106369050261,0.0,0.0,0.0,0.0
Female/40x,241.93666666666667,102,4,0,0.0392156862745098,0.9607843137254902,0.9607843137254902,0.00026626923517860377,0.9607843137254902,0.01921953056509033,0.9231140338179131,0.9984545936330673
Female/40x,392.16055555555556,98,41,0,0.41836734693877553,0.5816326530612245,0.5588235294117647,0.008168069654376104,0.5588235294117647,0.04916357175911011,0.46246292876390893,0.6551841300596205
Female/40x,456.9288888888889,57,3,0,0.05263157894736842,0.9473684210526316,0.5294117647058824,0.001142630793138121,0.5294117647058824,0.049421650024517996,0.4325453306578271,0.6262781987539376
Female/40x,504.23555555555555,54,3,0,0.05555555555555555,0.9444444444444444,0.5,0.0007829337833752711,0.5,0.049507377148833714,0.40296554078828595,0.597034459211714
Female/40x,577.2211111111111,51,3,0,0.058823529411764705,0.9411764705882353,0.47058823529411764,0.0012179674559095782,0.47058823529411764,0.04942165002451799,0.37372180124606236,0.5674546693421729
Female/40x,626.9811111111111,48,3,0,0.0625,0.9375,0.4411764705882353,0.0005429178031494664,0.4411764705882353,0.049163571759110104,0.3448158699403795,0.5375370712360911
Female/40x,745.8133333333333,45,5,0,0.1111111111111111,0.8888888888888888,0.392156862745098,0.0025596468824922954,0.392156862745098,0.04834210783237187,0.29740633139364914,0.4869073940965468
Female/40x,791.7755555555556,40,6,0,0.15,0.85,0.33333333333333326,0.0033400107777199674,0.33333333333333326,0.04667600280093365,0.24184836784350333,0.4248182988231632
Female/40x,840.3269444444444,34,3,0,0.08823529411764706,0.9117647058823529,0.3039215686274509,0.0012470314445329363,0.3039215686274509,0.04554175510823055,0.214659728615319,0.3931834086395828
Female/40x,914.3488888888888,31,20,0,0.6451612903225806,0.3548387096774194,0.10784313725490194,0.021790982709763144,0.10784313725490194,0.03071261397018481,0.04764641387333971,0.16803986063646417
Female/40x,958.0541666666667,11,11,0,1.0,0.0,0.0,0.04576106369050261,0.0,0.0,0.0,0.0
Male/20x,241.93666666666667,71,9,0,0.1267605633802817,0.8732394366197183,0.8732394366197183,0.0017355334648214205,0.8732394366197183,0.03948476670993462,0.7958492938682464,0.9506295793711901
Male/20x,319.91749999999996,62,1,0,0.016129032258064516,0.9838709677419355,0.8591549295774648,0.00011867745253507644,0.8591549295774648,0.04128358411947035,0.7782391047033028,0.9400707544516267
Male/20x,456.9288888888889,61,2,0,0.03278688524590164,0.9672131147540983,0.8309859154929576,0.0007046223224351747,0.8309859154929576,0.04447634657729004,0.7438122762014692,0.9181595547844461
Male/20x,504.23555555555555,59,1,0,0.01694915254237288,0.9830508474576272,0.8169014084507041,0.0002342109608387563,0.8169014084507041,0.04589846376912447,0.7269404194632202,0.9068623974381881
Male/20x,577.2211111111111,58,1,1,0.017241379310344827,0.9827586206896551,0.8028169014084506,0.000196535971610379,0.8028169014084506,0.04721868874183584,0.7102682714744524,0.8953655313424489
Male/20x,665.7102777777777,56,1,0,0.017857142857142856,0.9821428571428571,0.7884808853118711,0.00022493546460935687,0.7884808853118711,0.04850297038434262,0.6934150633585596,0.8835467072651826
Male/20x,745.8133333333333,55,6,0,0.10909090909090909,0.8909090909090909,0.7024647887323943,0.0025104229039828283,0.7024647887323943,0.05445970355266182,0.5957237697691771,0.8092058076956115
Male/20x,791.7755555555556,49,7,0,0.14285714285714285,0.8571428571428572,0.602112676056338,0.0031687281737343277,0.602112676056338,0.05841341303698909,0.4876223865038394,0.7166029656088366
Male/20x,840.3269444444444,42,11,0,0.2619047619047619,0.7380952380952381,0.4444164989939638,0.004071358369137212,0.4444164989939638,0.05939285957186096,0.32800649423311634,0.5608265037548112
Male/20x,914.3488888888888,31,23,0,0.7419354838709677,0.25806451612903225,0.11468812877263582,0.026987293971322053,0.11468812877263582,0.0381417283657708,0.03993034117572504,0.1894459163695466
Male/20x,958.0541666666667,8,8,0,1.0,0.0,0.0,0.04576106369050261,0.0,0.0,0.0,0.0
Male/40x,241.93666666666667,588,19,0,0.03231292517006803,0.967687074829932,0.967687074829932,0.0004211747878232718,0.967687074829932,0.007292340595136717,0.953394087263464,0.9819800623964
Male/40x,319.91749999999996,569,39,0,0.06854130052724078,0.9314586994727592,0.9013605442176871,0.0009824281632205725,0.9013605442176871,0.012296625383629025,0.8772591584657742,0.9254619299696
Male/40x,392.16055555555556,530,89,1,0.16792452830188678,0.8320754716981132,0.75,0.0028303363613603866,0.75,0.017857142857142856,0.715,0.785
Male/40x,456.9288888888889,440,61,1,0.13863636363636364,0.8613636363636363,0.6460227272727272,0.0031488616606993153,0.6460227272727272,0.019729502136128854,0.6073529030859147,0.6846925514595398
Male/40x,504.23555555555555,378,35,0,0.09259259259259259,0.9074074074074074,0.5862058080808081,0.0013302273018511888,0.5862058080808081,0.020329071680022584,0.5463608275879639,0.6260507885736524
Male/40x,577.2211111111111,343,39,0,0.11370262390670553,0.8862973760932945,0.5195526695526697,0.002422757520487832,0.5195526695526697,0.020629967927536894,0.47911793241469736,0.559987406690642
Male/40x,626.9811111111111,304,37,0,0.12171052631578948,0.8782894736842105,0.45631764069264075,0.0033462428720410697,0.45631764069264075,0.02057230684379486,0.4159959192788028,0.4966393621064787
Male/40x,665.7102777777777,267,18,0,0.06741573033707865,0.9325842696629214,0.4255546536796538,0.000870971043196696,0.4255546536796538,0.020423299303887504,0.38552498704403426,0.4655843203152733
Male/40x,745.8133333333333,249,57,0,0.2289156626506024,0.7710843373493976,0.32813852813852823,0.005624258115952459,0.32813852813852823,0.019400506830410044,0.29011353475092455,0.3661635215261319
Male/40x,791.7755555555556,192,40,0,0.20833333333333334,0.7916666666666666,0.2597763347763348,0.004789937937040264,0.2597763347763348,0.018121393283466677,0.22425840394074015,0.2952942656119295
Male/40x,840.3269444444444,152,25,1,0.16447368421052633,0.8355263157894737,0.21704996392496395,0.002421058658740766,0.21704996392496395,0.017036972822767952,0.18365749719233876,0.25044243065758914
Male/40x,914.3488888888888,126,79,0,0.626984126984127,0.373015873015873,0.08096308178153418,0.020896670702599457,0.08096308178153418,0.011306252896314433,0.058802826104757885,0.10312333745831047
Male/40x,958.0541666666667,47,47,0,1.0,0.0,0.0,0.04576106369050261,0.0,0.0,0.0,0.0
